AREA_GEOGRAFICA;NUCLEO_FAMILIARE;OCCUPAZIONE;TIPO_DI_SPESA;SPESA_TOTALE
NORD;1;Occupato;Prodotti alimentari e bevande analcoliche;457.94
NORD;1;Indipendente;Prodotti alimentari e bevande analcoliche;481.38
NORD;1;Dipendente;Prodotti alimentari e bevande analcoliche;451.12
NORD;1;Non occupato;Prodotti alimentari e bevande analcoliche;436.50
NORD;1;In cerca di occupazione;Prodotti alimentari e bevande analcoliche;423.02
NORD;1;Inattivo;Prodotti alimentari e bevande analcoliche;437.03
NORD;2;Occupato;Prodotti alimentari e bevande analcoliche;528.46
NORD;2;Indipendente;Prodotti alimentari e bevande analcoliche;551.89
NORD;2;Dipendente;Prodotti alimentari e bevande analcoliche;521.63
NORD;2;Non occupato;Prodotti alimentari e bevande analcoliche;507.01
NORD;2;In cerca di occupazione;Prodotti alimentari e bevande analcoliche;493.53
NORD;2;Inattivo;Prodotti alimentari e bevande analcoliche;507.54
NORD;3;Occupato;Prodotti alimentari e bevande analcoliche;568.15
NORD;3;Indipendente;Prodotti alimentari e bevande analcoliche;591.58
NORD;3;Dipendente;Prodotti alimentari e bevande analcoliche;561.32
NORD;3;Non occupato;Prodotti alimentari e bevande analcoliche;546.70
NORD;3;In cerca di occupazione;Prodotti alimentari e bevande analcoliche;533.22
NORD;3;Inattivo;Prodotti alimentari e bevande analcoliche;547.23
NORD;4;Occupato;Prodotti alimentari e bevande analcoliche;596.88
NORD;4;Indipendente;Prodotti alimentari e bevande analcoliche;620.31
NORD;4;Dipendente;Prodotti alimentari e bevande analcoliche;590.05
NORD;4;Non occupato;Prodotti alimentari e bevande analcoliche;575.43
NORD;4;In cerca di occupazione;Prodotti alimentari e bevande analcoliche;561.95
NORD;4;Inattivo;Prodotti alimentari e bevande analcoliche;575.96
NORD;5 e più;Occupato;Prodotti alimentari e bevande analcoliche;613.08
NORD;5 e più;Indipendente;Prodotti alimentari e bevande analcoliche;636.51
NORD;5 e più;Dipendente;Prodotti alimentari e bevande analcoliche;606.25
NORD;5 e più;Non occupato;Prodotti alimentari e bevande analcoliche;591.63
NORD;5 e più;In cerca di occupazione;Prodotti alimentari e bevande analcoliche;578.15
NORD;5 e più;Inattivo;Prodotti alimentari e bevande analcoliche;592.16
NORD;1;Occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1035.90
NORD;1;Indipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1116.68
NORD;1;Dipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1012.38
NORD;1;Non occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1032.43
NORD;1;In cerca di occupazione;Abitazione, acqua, elettricità, gas e altri combustibili;960.92
NORD;1;Inattivo;Abitazione, acqua, elettricità, gas e altri combustibili;1035.23
NORD;2;Occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1107.88
NORD;2;Indipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1188.66
NORD;2;Dipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1084.36
NORD;2;Non occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1104.41
NORD;2;In cerca di occupazione;Abitazione, acqua, elettricità, gas e altri combustibili;1032.90
NORD;2;Inattivo;Abitazione, acqua, elettricità, gas e altri combustibili;1107.21
NORD;3;Occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1097.07
NORD;3;Indipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1177.85
NORD;3;Dipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1073.55
NORD;3;Non occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1093.60
NORD;3;In cerca di occupazione;Abitazione, acqua, elettricità, gas e altri combustibili;1022.09
NORD;3;Inattivo;Abitazione, acqua, elettricità, gas e altri combustibili;1096.40
NORD;4;Occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1123.36
NORD;4;Indipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1204.13
NORD;4;Dipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1099.83
NORD;4;Non occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1119.89
NORD;4;In cerca di occupazione;Abitazione, acqua, elettricità, gas e altri combustibili;1048.37
NORD;4;Inattivo;Abitazione, acqua, elettricità, gas e altri combustibili;1122.69
NORD;5 e più;Occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1090.15
NORD;5 e più;Indipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1170.93
NORD;5 e più;Dipendente;Abitazione, acqua, elettricità, gas e altri combustibili;1066.63
NORD;5 e più;Non occupato;Abitazione, acqua, elettricità, gas e altri combustibili;1086.68
NORD;5 e più;In cerca di occupazione;Abitazione, acqua, elettricità, gas e altri combustibili;1015.17
NORD;5 e più;Inattivo;Abitazione, acqua, elettricità, gas e altri combustibili;1089.48
NORD;1;Occupato;Salute;105.59
NORD;1;Indipendente;Salute;107.37
NORD;1;Dipendente;Salute;105.07
NORD;1;Non occupato;Salute;112.43
NORD;1;In cerca di occupazione;Salute;96.19
NORD;1;Inattivo;Salute;113.07
NORD;2;Occupato;Salute;129.06
NORD;2;Indipendente;Salute;130.83
NORD;2;Dipendente;Salute;128.54
NORD;2;Non occupato;Salute;135.90
NORD;2;In cerca di occupazione;Salute;119.66
NORD;2;Inattivo;Salute;136.54
